Brand,Company,Date,ProductDescription,ProductType,Reason,Url,Terminated
JLM,Lipari Foods,06/20/2025,Dark chocolate nonpareils,"Food & Beverages, Allergens",Undeclared milk allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lipari-foods-issues-allergy-alert-undeclared-milk-dark-chocolate-nonpareils,
SE Grocers,Undeclared milk allergen,06/20/2025,Dark chocolate nonpareils,"Food & Beverages, Allergens",SE Grocers,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/international-foodsource-llc-issues-allergy-alert-nonpareil-semi-sweet-chocolate-christmas-seeds,
Sabores A Tu Mesa,Sabores Fit Bakery,06/20/2025,Mousse Desserts,"Food & Beverages, Allergens",Undeclared milk allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/sabores-bakery-dba-sabores-tu-mesa-issues-allergy-alert-undeclared-milk-mousse-desserts,
Little Remedies,Medtech Products Inc.,06/18/2025,Honey Cough Syrup,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Bacillus cereus,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/medtech-products-inc-issues-nationwide-recall-little-remediesr-honey-cough-syrup-due-microbial,
Weaver Nut Company,Weaver Nut Company,06/18/2025,Semi sweet chocolate pareils with white or Christmas colored seeds,"Food & Beverages, Allergens",Undeclared milk allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/weaver-nut-company-inc-issues-allergy-alert-undeclared-milk-chocolate-nonpareils,
Fuentes Farms Inc,Fuentes Farms Inc.,06/16/2025,Cucumbers in bushel boxes,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fuentes-farms-llc-recalls-product-because-possible-health-risk,
Frederick’s by Meijer,Meijer,06/16/2025,Dark Chocolate Almonds,"Food & Beverages, Allergens",Undeclared cashews,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/meijer-issues-recall-frederiks-dark-chocolate-almonds-due-presence-undeclared-cashews,
"Welby, Berkely Jensen and VitaGlobe",Vita Warehouse Corp.,06/13/2025,Gummy products,"Food & Beverages, Allergens",Undeclared allergen - peanut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/vita-warehouse-corp-issues-allergy-alert-undeclared-peanut-allergen-aldi-welbyr-berkley-jensenr-and,
Floria,Turkana Food Inc.,06/12/2025,Dried Apricots,"Food & Beverages, Allergens",Potential or Undeclared Allergen - Sulfites,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/turkana-food-inc-recall-flora-dried-apricots-undeclared-sulfites-product-labeling-because-possible,
No Brand,Hofood99 Inc.,06/11/2025,Enoki Mushrooms,Food & Beverages,Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/hofood99-inc-recalls-enoki-mushroom-due-possible-health-risk,
Newport™,Medtronic,06/11/2025,Newport™ HT70 and HT70 Plus ventilators and certain related service parts,Medical Devices,Device & Drug Safety - Potential Defect,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/medtronic-announces-voluntary-recall-select-newporttm-ht70-and-newporttm-ht70-plus-ventilators-and,
No Brand,P. East Trading Corp Distributors,06/10/2025,Uneviscerated Salted Smoked Split Herring,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Clostridium Botulinum,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/p-east-trading-corp-distributors-issues-alert-uneviscerated-salted-smoked-split-herring-due,
Bornstein Seafoods,Bornstein Seafoods Inc.,06/10/2025,Coldwater Shrimp Meat,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness – Listeria monocytogenes,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bornstein-seafoods-inc-recalls-cooked-peeled-ready-eat-coldwater-shrimp-meat-because-possible-health,
Multiple brand names,August Egg Company,06/06/2025,Brown cage free and brown certified organic eggs,Food & Beverages,Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/august-egg-company-recalls-shell-eggs-because-possible-health-risk,
Zicam® and Orajel™,"Church & Dwight Co., Inc.",06/06/2025,"Cold Remedy Nasal Swabs, Nasal AllClear Swabs, Baby Teething Swabs",Drugs,Microbial contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/church-dwight-co-inc-issues-voluntary-nationwide-recall-zicamr-cold-remedy-nasal-swabs-zicamr-nasal,
Multiple brands,"TGD Cuts, LLC.",06/04/2025,Fresh cucumbers and salsa and salads containing fresh cucumbers,Food & Beverages,Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tgd-cuts-llc-initiated-voluntary-recall-cucumber-bedner-growers-inc-which-had-potential-be,
Firehook,Firehook of Virginia,06/04/2025,Crackers,Food & Beverages,Undeclared Sesame,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/firehook-virginia-issues-allergy-alert-undeclared-sesame-classic-sea-salt-crackers,
Amneal,Amneal Pharmaceutical LLC,06/04/2025,"Sulfamethoxazole/Trimethoprim Tablets, USP, 400 mg/80 mg",Drugs,Microbial contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/amneal-pharmaceutical-llc-issues-nationwide-recall-sulfamethoxazole-trimethoprim-tablets-usp-400,
Aldi brand Casa Mamita,Camerican International,06/03/2025,Churro Bites,"Food & Beverages, Allergens",Undeclared Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/camerican-international-inc-issues-allergy-alert-undeclared-milk-aldi-brand-casa-mamita-churro-bites,
Shore Lunch,Homegrown Family Foods,05/29/2025,Breading and Batter Mix,Food & Beverages,Presence of Undeclared Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/homegrown-family-foods-issues-allergy-alert-undeclared-milk-shore-lunch-oven-style-breader-batter,
"Kings, Isabelle’s Kitchen Inc., Maple Avenue Foods","Isabelle’s Kitchen, Inc.",05/29/2025,Salads containing fresh cucumbers.,"Food & Beverages, Foodborne Illness",Potential to be contaminated with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/isabelles-kitchen-inc-recalls-refrigerated-deli-salads-containing-fresh-cucumbers-because-possible,
Supreme Produce,"Supreme Service Solutions, LLC.",05/28/2025,Fresh cucumbers and salad and vegetable trays containing fresh cucumbers.,"Food & Beverages, Foodborne Illness, Produce",Due to possible contamination with Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supreme-service-solutions-llc-voluntarily-recalls-supreme-vegetable-products-because-possible-health-0,
"East Coast Fresh, TOPS, Wellsley Farms, WEIS, AHOLD, Jack and Olive, Created Fresh, Spring and Sprout",The Coastal Companies,05/27/2025,"Salads, salsas, and other products containing salsa containing fresh cucumbers","Food & Beverages, Foodborne Illness",Potential for Salmonella contamination.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/coastal-companies-issues-voluntary-recall-items-fresh-start-cucumbers-due-potential-salmonella,
Aldi,Santa Monica Seafood,05/24/2025,Atlantic Salmon Portions with Seafood Stuffing,"Food & Beverages, Allergens",Undeclared allergen - soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/santa-monica-seafood-voluntarily-recalls-atlantic-salmon-portions-seafood-stuffing-due-undeclared,
Ready Meals & Star Market,Albertsons Companies,05/23/2025,Greek Salad,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/albertsons-companies-voluntarily-recalls-three-store-made-deli-items-containing-recalled-cucumber,
Tetra,Spectrum Brands Pet LLC,05/23/2025,ReptoMin 3-In-1 SELECT-A-FOOD reptile food,"Animal & Veterinary, Foodborne Illness, Food & Beverages, Foodborne Illness",Salmonella contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/spectrum-brands-pet-llc-recalls-single-lot-tetra-reptomin-reptile-food-aquatic-turtles-because,
Marketside,Walmart Inc.,05/23/2025,Fresh cut cucumber slices,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/walmart-inc-recalls-marketside-fresh-cut-cucumber-slices-select-texas-stores-because-possible-health,
Snowfruit & Snowfox,JFE Franchising Inc.,05/23/2025,Fresh cut cucumber items and sushi products,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/jfe-franchising-inc-recalls-limited-number-cucumber-products-because-possible-health-risk-0,
PennRose Farms,"PennRose Farms, LLC",05/22/2025,Whole cucumbers,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/pennrose-farms-issues-recall-whole-cucumbers-because-possible-health-risk,
New Grain Gluten Free Bakery,New Grains Gluten Free Bakery,05/22/2025,"Breads, bagels, caramel bars, cookies and croutons","Food & Beverages, Allergens","Undeclared Allergen – Egg, tree nuts Soy and Milk",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-grains-gluten-free-bakery-issues-allergy-alert-undeclared-eggs-tree-nuts-soy-and-milk-bakery,
Big Y Foods,Big Y Foods,05/22/2025,"Made-to-order subs, wraps and paninis","Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/big-y-foods-recalls-made-order-subs-wraps-and-paninis-sold-massachusetts-and-connecticut-because,
UNAVY & UMOVY,UMARY USA,05/22/2025,Unavy Acidio Hialuronico (30 caplets/850 mg) and Umovy Acidio Hialuronico (30 caplets/850 mg),Drugs,"The product contains undeclared Dexamethasone, Diclofenac and Omeprazole",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/umary-usacom-issues-voluntary-nationwide-recall-unavy-acido-hialuronico-caplets-and-umovy-acido,
Ukrop’s,"Ukrop’s Homestyle Foods, LL",05/22/2025,Marinated cucumber Salad,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ukrops-homestyle-foods-announces-recall-due-possible-health-risk,
GreenWise,Publix,05/22/2025,"Pear, Kiwi, Spinach & Pea Baby Food pouches","Dietary Supplements, Contaminants, Food & Beverages, Contaminants",Product may be contaminated with elevated levels of lead,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/publix-voluntarily-recalls-greenwise-pear-kiwi-spinach-pea-baby-food-pouches-due-lead,
No Brand Name,"Bedner Growers, Inc.",05/20/2025,Cucumbers,"Food & Beverages, Foodborne Illness",Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bedner-growers-inc-recalls-cucumbers-because-possible-health-risk,
Madeline’s Pâtisserie,"Element 112, LLC dba Madeline’s Pâtisserie",05/20/2025,Croissants and Croissant Buns,"Food & Beverages, Allergens",Undeclared allergen - wheat.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/element-112-llc-dba-madelines-patisserie-issues-allergy-alert-undeclared-wheat-croissants-and,
RM Refresher,R&M Trading LLC,05/19/2025,Instant Milk Tea Powder,Food & Beverages,Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/rm-trading-llc-issues-allergy-alert-undeclared-milk-rm-refresher-instant-milk-tea-powder,
Bengal King,South Asian Foods Inc.,05/16/2025,Family Pack Vegetable Singara,"Food & Beverages, Allergens",Undeclared Allergen – Peanut,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/south-asian-food-inc-issues-allergy-alert-undeclared-peanuts-bengal-king-family-pack-vegetable,
Ariana,Ariana Sweets Inc,05/14/2025,Afghani Corn Bread,"Food & Beverages, Allergens","Undeclared Allergen – Sesame, Wheat",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ariana-sweets-inc-issues-allergy-alert-undeclared-sesame-and-wheat-afghani-corn-bread-doda,
Nature Mills,Nature Mills US,05/13/2025,"Rice Mixes, Soups, Spice Mixes, Porridge Mix, Papads and Vadam Products","Food & Beverages, Allergens","Undeclared Allergen – Wheat, Milk, Sesame",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/naturemills-us-inc-issues-allergy-alert-undeclared-wheat-milk-and-sesame-rice-mixes-soups-spice,
Bonya,Knockroe Inc.,05/12/2025,Low Fat Yogurt Parfaits,"Food & Beverages, Allergens, Yogurt/Yogurt Product",Undeclared Allergen – Tree Nuts (almonds),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/knockro-issues-allergy-alert-undeclared-almonds-bonya-yogurt-parfaits,
"Fresh & Ready Foods, Fresh Take Crave Away, City Point Market Fresh Food to Go",Fresh & Ready Foods LLC,05/11/2025,Ready to eat sandwiches and snack items,Food & Beverages,Potential Listeria monocytogenes Contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fresh-ready-foods-voluntarily-recalls-ready-eat-sandwiches-and-snack-items-sold-arizona-california,
New Grain Gluten Free Bakery,New Grains Gluten Free Bakery,05/09/2025,"Breads, bagels, cookies and croutons",Food & Beverages,"Products may contain undeclared eggs, soy, and milk",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-grains-gluten-free-bakery-issues-allergy-alert-undeclared-eggs-soy-and-milk-bakery-products,
Organic traditions,Advantage Health Matters Inc.,05/08/2025,Organic Jumbo Pumpkin Seeds,"Food & Beverages, Foodborne Illness",Potential Foodborne Illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/advantage-health-matters-inc-recalls-organic-jumbo-pumpkin-seeds-because-possible-health-risk,
Endurance Boost,EnShiShiXiangNiShangMaoYouXianGongSi,05/06/2025,Dietary supplement for male performance and energy,Drugs,"Undeclared Propoxyphenylsildenafil, Sildenafil",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/enshishixiangnishangmaoyouxiangongsi-issues-voluntary-nationwide-recall-endurance-boost-horny-goat,
New England Village Snacks,New England Village Foods,05/06/2025,19th Hole Snack Mix,"Food & Beverages, Allergens",Undeclared almonds and sesame,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-england-village-foods-issues-allergy-alert-undeclared-almonds-and-sesame-19th-hole-snack-mix,
President Brand,"Eats CL Trading, Inc.",05/05/2025,Licorice plum,"Food & Beverages, Allergens",Potential or Undeclared Allergen – sulfites Unapproved color – Amaranth (E123),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/east-trading-inc-issues-alert-undeclared-sulfites-licorice-plum,
Yellowstone,Vietti Food Group,05/05/2025,Baked Beans,"Food & Beverages, Allergens",Potential or Undeclared Allergen - Soy,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/vietti-food-group-issues-allergy-alert-undeclared-soy-15-oz-yellowstone-brown-sugar-molasses-baked,
Ray & Mascari Inc.,Ray & Mascari Inc,05/03/2025,Tomatoes,"Food & Beverages, Foodborne Illness, Produce",Potential Foodborne Illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ray-mascari-inc-recalls-4-count-vine-ripe-tomatoes-because-possible-health-risk,
H&C Farms Label,Williams Farms Repack LLC,05/02/2025,Tomatoes,"Food & Beverages, Foodborne Illness, Produce",Potential Foodborne Illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/williams-farms-repack-llc-recalls-tomatoes-due-possible-salmonella-contamination,
Ankimo,JJWV Marketing Corporation,05/01/2025,Monkfish Liver,"Food & Beverages, Allergens",Potential or Undeclared Allergen - Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/food-co-issues-allergy-alert-undeclared-milk-monkfish-liver-ankimo,
Health Fixer,Health Fixer,04/29/2025,Male Enhancement Dietary Supplements,Dietary Supplements,"Undeclared Chloropretadalafil, Propoxyphenylsildenafil, Sildenafil",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/health-fixer-issues-voluntary-nationwide-recall-male-ultra-malextra-electro-buzz-ultra-armor-and,
Trader Joe’s,Taylor Fresh Foods,04/29/2025,Sesame Miso Salad with Salmon,"Food & Beverages, Allergens",Potential or Undeclared Allergen - Milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/trader-joes-sesame-miso-salad-salmon-voluntarily-recalled-due-undeclared-milk-allergen,
Mauna Loa,Mauna Loa Macadamia Nut Company LLC,04/26/2025,Dark Chocolate Covered Macadamias,Food & Beverages,"Undeclared cashew, almond",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mauna-loa-macadamia-nut-company-llc-issues-allergy-alert-undeclared-almonds-and-cashews-mauna-loa,
New England Village Snacks,New England Village Foods,04/24/2025,19th Hole Snack Mix,"Food & Beverages, Allergens",Undeclared almonds,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/new-england-village-foods-issues-allergy-alert-undeclared-almonds-19th-hole-snack-mix,
Dexased™ and Dexmedvet™,Cronus Pharma LLC,04/24/2025,Dexmedetomidine Hydrochloride Injection 0.5 mg/mL,Animal & Veterinary,Presence of particulate matter,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/cronus-pharma-llc-initiating-voluntary-recall-dexasedtm-aspen-and-dexmedvettm-cronus-pharma-llc,
Hofood99 Inc,Harvest NYC Inc,04/18/2025,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Due to possibility of contamination with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/harvest-nyc-inc-recalls-enoki-mushroom-due-possible-health-risk,
Gerber,Gerber Products Company,04/18/2025,Gerber® Soothe N Chew® Teething Sticks,Food & Beverages,Potential choking hazard for babies and young children,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/recall-reminder-gerber-products-company-previously-recalled-and-discontinued-all-batches-gerberr,
Q’Apel Medical,"Q’Apel Medical, Inc.",04/18/2025,072 Aspiration System,Medical Devices,Distal Tip Design outside scope of 510k clearance,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/fda-classifies-qapel-medical-incs-worldwide-medical-device-recall-and-discontinuation-its-072,
Amneal Pharmaceuticals LLC.,Amneal Pharmaceuticals LLC.,04/18/2025,"Ropivacaine Hydrochloride Injection, USP, 500mg/100mL IV bag",Drugs,Product may contain an inert fiber identified as polypropylene fibers from the IV bag,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/amneal-pharmaceutical-llc-issues-nationwide-recall-ropivacaine-hydrochloride-injection-usp,
May Flower International,"May Flower Internation, Inc.",04/17/2025,Soybean Paste,"Food & Beverages, Allergens",Undeclared wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/may-flower-international-inc-issue-allergy-alert-undeclared-wheat-beijing-soybean-paste,
Dorado Nutrition/Space Garden,"Supplement Manufacturing Partners, Inc.",04/16/2025,Spermidine/Spermidin,"Food & Beverages, Allergens",Undeclared wheat,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supplement-manufacturing-partner-inc-issues-recall-dorado-nutrition-brand-spermidine-supplement-10mg,
Blue Ridge Beef,Blue Ridge Beef,04/11/2025,Puppy Mix and Kitten Mix,"Animal & Veterinary, Foodborne Illness, Pet Food, Food & Beverages, Foodborne Illness, Pet Food",Salmonella & Listeria contamination.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/blue-ridge-beef-issues-voluntary-recall-blue-ridge-beef-puppy-mix-and-kitten-mix-due-salmonella,
Marketside,"Duda Farm Fresh Foods, Inc.",04/11/2025,Celery Sticks,"Food & Beverages, Foodborne Illness, Produce",Due to possibility of contamination with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/duda-farm-fresh-foods-inc-emite-aviso-para-1587-cajas-de-marketside-4in16-oz-bundle-pack-por-posible,
Marketside,"Duda Farm Fresh Foods, Inc.",04/10/2025,Celery Sticks,"Food & Beverages, Foodborne Illness, Produce",Due to possibility of contamination with Listeria monocytogenes.,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/duda-farm-fresh-foods-inc-issues-advisory-1587-cases-4-in16-oz-bundle-marketside-celery-sticks,
Heinen’s,Trophy Nut Company,04/09/2025,Honey Roasted Peanuts,"Food & Beverages, Allergens, Nuts & Nut Products",Undeclared cashew allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/trophy-nut-co-issues-allergy-alert-due-undeclared-cashews-heinens-honey-roasted-peanuts,
Caraluzzi’s,Caraluzzi Markets,04/08/2025,Italian Style Seafood Burgers,"Food & Beverages, Allergens",Undeclared egg allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/caraluzzis-markets-issues-allergy-alert-undeclared-egg-caraluzzis-italian-style-seafood-burger-8-oz,
Max Mobility/Permobil,"Max Mobility, LLC.",04/07/2025,Speed Control Dial Component,Medical Devices,Expanded recall due to potential safety and performance concerns,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/max-mobility-permobil-expands-nationwide-recall-smartdrive-speed-control-dial-due-motor-being,
enVista Aspire,Bausch + Lomb Corporation,04/07/2025,"enVista Aspire™, enVista Envy™ and Certain enVista® Monofocal Intraocular Lenses",Medical Devices,Increased frequency of reports of toxic anterior segment syndrome,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bausch-lomb-announces-voluntary-recall-envista-aspiretm-envista-envytm-and-certain-envistar,
Texas Pete,T.W. Garner Food Company,04/03/2025,Condiments,"Food & Beverages, Allergens, Gravy/Sauces",Potential or Undeclared Allergen-Sulfites,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tw-garner-food-company-issues-recall-texas-peter-habanero-buffalo-sauce-due-potential-presence,
Supercan,Supercan Bulk,04/02/2025,Pig ear slivers,Animal & Veterinary,Potential Foodborne Illness - Salmonella,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/supercan-bulk-recalls-single-lot-pig-ear-slivers-pet-treats-due-salmonella-contamination,
Panaderia/Bakery,Panaderia Salvadorena Inc.,04/02/2025,Quesadilla de Queso bread,"Food & Beverages, Allergens, Bakery Product/Mix",May contain undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/panaderia-salvadorena-inc-issues-allergy-alert-undeclared-milk-quesadilla-de-queso,
Tony’s Chocolonely Inc.,Tony’s Chocolonely Inc.,04/02/2025,Dark Chocolate Almond Sea Salt Bar and Everything Bar,Food & Beverages,Potential presence of small stones,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/tonys-chocolonely-recalls-two-chocolate-products-because-they-may-contain-small-stones,
Walker’s Wine Juice LLC,Walker’s Wine Juice LLC,04/01/2025,Pumpkin Juice,"Food & Beverages, Foodborne Illness, Juice",Potential Foodborne Illness - Botulism,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/walkers-wine-juice-llc-recalls-product-due-possible-health-risk,
Trader Joe’s,Fresh Creative Foods,03/31/2025,Hot honey mustard dressing,"Food & Beverages, Allergens","Undeclared allergen - peanut, soy, sesame, and wheat.",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/undeclared-allergen-trader-joes-hot-honey-mustard-dressing-use-date-05272025-issued-fresh-creative,
"Ben E. Keith, Rodeo Goat, Casa Linda",The Bakery Group,03/28/2025,"Brioche loaves, Brioche Buns","Food & Beverages, Allergens, Bakery Product/Mix","May contain undeclared milk, soy and yellow FD&C # 5",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bakery-group-issues-allergen-alert-undeclared-milk-soy-and-yellow-fdc-5-specific-bread-and-hamburger,
"CFS Cromer Food Services, Inc.","Cromer Food Services, Inc.",03/27/2025,Chicken salad on white bread sandwich,Food & Beverages,Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/cromer-food-services-inc-recalls-chicken-salad-white-sandwich-due-undeclared-milk-allergen,
Tostitos,Frito-Lay,03/27/2025,Cantina Traditional Yellow Corn Tortilla Chips,Food & Beverages,Undeclared milk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/frito-lay-issues-limited-recall-tostitos-cantina-traditional-yellow-corn-tortilla-chips-undeclared,
Savage Pet,Savage Pet,03/15/2025,Cat Food Chicken,Animal & Veterinary,Possible Bird Flu Health Risk,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/savage-pet-recalls-savage-cat-food-chicken-large-and-small-boxes-because-possible-bird-flu-health,
365 Whole Foods Market,C.H. Guenther & Son LLC,03/14/2025,Small Bites Macaroni & Cheese,Food & Beverages,Undeclared eggs,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ch-guenther-son-llc-issues-allergy-alert-undeclared-egg-365-whole-foods-market-small-bites-macaroni,
Little Leaf Farms,Little Leaf Farms,03/01/2025,Southwest Salad Kits,Food & Beverages,Undeclared fish and wheat allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/little-leaf-farms-announces-limited-voluntary-withdrawal-specific-lot-code-southwest-salad-kit-due,
CAPS,CAPS,02/25/2025,Phenylephrine 40 mg added to 0.9% Sodium Chloride 250 mL in 250 mL Excel Bag,Drugs,Due to visible black particulate matter,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/central-admixture-pharmacy-services-caps-issues-nationwide-recall-phenylephrine-40-mg-added-09,
SinuCleanse,Ascent Consumer Products Inc.,02/25/2025,Soft Tip Squeeze Bottle Nasal Wash System,Drugs,Microbial contamination of the product with Staphylococcus aureus (S. aureus),https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/ascent-consumer-products-inc-issues-voluntary-nationwide-recall-sinucleanse-soft-tip-squeeze-bottle,
"ReadyCare, Imperial",Lyons Magnus LLC,02/23/2025,Frozen supplemental shakes,"Food & Beverages, Foodborne Illness",Possible Listeria monocytogenes contamination,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/lyons-magnus-recalls-lyons-readycare-and-sysco-imperial-frozen-supplemental-shakes-manufactured,
Glicks,Kayco,02/21/2025,Dark Chocolate Conettos,"Food & Beverages, Allergens",Undeclared milk allergen,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/kayco-issues-allergy-alert-undeclared-milk-limited-units-glicks-dark-chocolate-conettos,
Las Ollas,Kedake Inc,02/20/2025,Las Ollas Botana Mix Snacks and Delights 2 lb packages,"Food & Beverages, Allergens","Undeclared wheat, sesame, soy, yellow 5, yellow 6, red 6",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/kedake-inc-issues-allergy-alert-undeclared-sesame-soy-wheat-yellow-no-5-yellow-no-6-and-red-no-6,
Vitality,One Source Nutrition,02/20/2025,Vitality male enhancement dietary supplement capsules,"Dietary Supplements, Drugs",Undeclared Sildenafil and Tadalafil,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/one-source-nutrition-inc-issues-voluntary-nationwide-recall-vitality-capsules-due-presence,
Ulker,ZB Importing LLC,02/20/2025,"Snack rolls, biscuits, and wafers","Food & Beverages, Allergens","Undeclared allergen (wheat, eggs, milk)",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/zb-importing-issue-voluntary-recall-and-allergy-alert-undeclared-egg-wheat-and-milk-certain-ulker,
Naturipe Snacks,Naturipe Value Added Fresh LLC,02/19/2025,"Berry Buddies, Berries & Pancakes bento box snack packs","Food & Beverages, Allergens","Undeclared allergen (wheat, eggs)",https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/naturipe-value-added-fresh-llc-issues-allergy-alert-undeclared-wheat-eggs-berry-buddies-berries,
BD,BD,02/18/2025,ChloraPrep Clear 1 mL applicator skin preparation product,Drugs,Potential for fungal contamination under certain environmental conditions allowing the growth of Aspergillus penicillioides,https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/bd-announces-voluntary-worldwide-recall-one-lot-chlorapreptm-clear-1-ml-applicators-due-fungal,
